PID,AGE,SQ,Nor_AGE,Nor_SQ,Gender,Type
298,34,18,0.31,0.27,2,0
299,34,20,0.31,0.3,2,0
300,34,20,0.31,0.3,2,0
301,34,16,0.31,0.23,2,0
302,34,23,0.31,0.35,2,0
303,34,23,0.31,0.35,2,0
304,34,29,0.31,0.45,2,0
305,34,21,0.31,0.32,2,0
306,34,21,0.31,0.32,2,0
307,34,26,0.31,0.4,2,0
308,34,18,0.31,0.27,2,0
309,34,23,0.31,0.35,2,0
310,34,18,0.31,0.27,2,0
311,34,17,0.31,0.25,2,0
312,34,16,0.31,0.23,2,0
313,34,14,0.31,0.2,2,0
314,34,19,0.31,0.28,2,0
315,34,19,0.31,0.28,2,0
316,34,21,0.31,0.32,2,0
317,34,12,0.31,0.17,2,0
318,34,16,0.31,0.23,2,0
319,34,23,0.31,0.35,2,0
320,34,21,0.31,0.32,2,0
321,41,15,0.5,0.22,2,0
322,41,18,0.5,0.27,2,0
323,41,19,0.5,0.28,2,0
324,41,11,0.5,0.15,2,0
325,41,17,0.5,0.25,2,0
326,41,17,0.5,0.25,2,0
327,41,16,0.5,0.23,2,0
328,41,11,0.5,0.15,2,0
329,41,21,0.5,0.32,2,0
330,41,18,0.5,0.27,2,0
331,41,7,0.5,0.08,2,0
332,41,11,0.5,0.15,2,0
333,41,13,0.5,0.18,2,0
334,41,14,0.5,0.2,2,0
335,41,6,0.5,0.07,2,0
336,41,15,0.5,0.22,2,0
337,41,8,0.5,0.1,2,0
338,41,33,0.5,0.52,2,0
339,41,13,0.5,0.18,2,0
340,41,13,0.5,0.18,2,0
341,41,7,0.5,0.08,2,0
342,41,16,0.5,0.23,2,0
343,41,15,0.5,0.22,2,0
344,41,16,0.5,0.23,2,0
345,41,23,0.5,0.35,2,0
346,41,17,0.5,0.25,2,0
347,41,18,0.5,0.27,2,0
348,41,16,0.5,0.23,2,0
349,41,15,0.5,0.22,2,0
350,41,17,0.5,0.25,2,0
351,41,17,0.5,0.25,2,0
352,41,13,0.5,0.18,2,0
353,41,12,0.5,0.17,2,0
354,41,19,0.5,0.28,2,0
355,41,22,0.5,0.33,2,0
356,41,17,0.5,0.25,2,0
357,41,13,0.5,0.18,2,0
358,41,14,0.5,0.2,2,0
359,41,14,0.5,0.2,2,0
360,41,18,0.5,0.27,2,0
